state,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20
Alabama,38962,40111,41865,42862,43953,44878
Alaska,975,1014,1060,1107,1134,1162
Arizona,84105,87445,91872,94567,98103,101455
Arkansas,21197,22075,22622,23209,23814,24253
California,238681,246550,250514,252895,264681,271035
Colorado,33012,33335,33595,33849,34048,34240
Connecticut,46572,46646,46717,46717,46717,46976
Delaware,11510,11731,11923,11996,12128,12293
Florida,158997,169106,178594,190052,200111,206447
Georgia,84242,87709,90493,93319,95516,97064
Hawaii,926,946,975,999,1023,1030
Idaho,6370,6593,6994,7370,7733,8052
Illinois,144013,144882,145750,146612,147251,147865
Indiana,45952,46387,46915,47432,48201,48524
Iowa,29514,30259,30463,31061,31517,31758
Kansas,14830,15002,15659,15911,16081,16638
Kentucky,15842,16079,16376,16376,16376,17152
Louisiana,60178,61561,63289,63289,65226,66327
Maine,3294,3328,3373,3397,3415,3423
Maryland,67918,68423,68961,69341,69632,69904
Massachusetts,109143,109338,109628,109838,109974,110137
Michigan,71089,71678,72175,72581,72941,73267
Minnesota,36716,37210,37624,37624,38136,38569
Mississippi,27900,28770,29684,30674,30900,31257
Missouri,22104,22636,23160,23583,23816,24211
Montana,1016,1083,1128,1167,1212,1249
Nebraska,19310,19452,19660,19827,19929,20046
Nevada,19101,19733,20718,21575,22418,22909
New Hampshire,5802,5822,5857,5872,5897,5914
New Jersey,171928,172356,172742,173033,173402,173611
New Mexico,12276,12520,12776,13063,13256,13507
New York,394079,394954,395872,396598,397131,397649
North Carolina,66751,68216,70262,71670,72992,74775
North Dakota,3615,3657,3722,3779,3816,3849
Ohio,52865,54166,55257,56183,57150,57956
Oklahoma,14119,14531,15069,15648,15931,16362
Oregon,8931,9294,9636,9930,10230,10395
Pennsylvania,91775,92612,93392,93922,94403,95100
Rhode Island,16853,16941,16991,16991,16991,16991
South Carolina,37919,39701,41532,43386,44847,46380
South Dakota,6826,6893,6978,7028,7063,7105
Tennessee,45315,46890,48712,50140,51316,52039
Texas,172368,179137,186799,193958,197421,205642
Utah,22716,23270,23866,24542,24952,25469
Vermont,1210,1227,1236,1238,1249,1251
Virginia,63203,63735,64393,65109,65748,66102
Washington,33435,34151,34778,35247,35898,36985
West Virginia,2979,3053,3126,3205,3262,3442
Wisconsin,29199,29738,30317,31055,31577,32061
Wyoming,1514,1550,1582,1606,1634,1675
